id,title,original_title,original_language,release_date,release_year,decade,overview,popularity,vote_average,vote_count,origin_country_code,origin_country_name,genre_ids,primary_country,matched_conflict,match_score,matched_keywords,match_source,out_of_scope_category,temporal_check
25,Jarhead,Jarhead,en,2005-11-04,2005,2000,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",4.7526,6.7,3157,US,United States,"[18, 10752]",US,Gulf War,1,['gulf war'],overview,,consistent
28,Apocalypse Now,Apocalypse Now,en,1979-05-19,1979,1970,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.2461,8.3,9049,US,United States,"[18, 10752]",US,Vietnam War,1,['vietnam war'],overview,,consistent
67,Paradise Now,Paradise Now,fr,2005-09-07,2005,2000,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,0.725,6.886,284,FR,France,"[80, 53, 18, 10752]",FR,,0,[],,,no_check_needed
182,The Good German,The Good German,en,2006-12-15,2006,2000,An American journalist arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover.,1.6275,5.8,344,US,United States,"[18, 9648, 10749, 53, 10752]",US,,0,[],,,no_check_needed
197,Braveheart,Braveheart,en,1995-05-24,1995,1990,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",10.9436,7.944,11060,US,United States,"[28, 18, 36, 10752]",US,,0,[],,,no_check_needed
205,Hotel Rwanda,Hotel Rwanda,en,2004-12-22,2004,2000,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",3.2605,7.719,3152,US,United States,"[18, 36, 10752]",US,Rwandan Genocide,1,['rwanda'],overview,,consistent
265,Lili Marleen,Lili Marleen,de,1981-01-14,1981,1980,"The story of a German singer named Willie, who while working in Switzerland, falls in love with a Jewish composer named Robert, whose family is helping people to flee from the Nazis. Robert’s family is skeptical of Willie, thinking she could be a Nazi as she becomes famous for singing the song “Lili Marleen”.",0.8057,6.449,88,DE,Germany,"[18, 10752, 10749]",DE,World War II,2,"['nazi', 'nazis']",overview,,consistent
387,Das Boot,Das Boot,de,1981-09-17,1981,1980,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",5.05,8.1,2501,DE,Germany,"[18, 36, 10752]",DE,World War II,1,['second world war'],overview,,consistent
409,The English Patient,The English Patient,en,1996-11-14,1996,1990,"In the 1930s, Count Almásy is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics.",3.4753,7.147,2381,"GB,US","United Kingdom,United States","[18, 10749, 10752]",GB,World War II,1,['world war ii'],overview,,consistent
423,The Pianist,The Pianist,en,2002-09-17,2002,2000,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",12.1875,8.374,10096,GB,United Kingdom,"[18, 10752]",GB,World War II,2,"['nazi', '1942']",overview,,consistent
424,Schindler's List,Schindler's List,en,1993-12-15,1993,1990,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,26.1437,8.568,17405,US,United States,"[18, 36, 10752]",US,World War II,2,"['world war ii', 'nazis']",overview,,consistent
502,Fail Safe,Fail Safe,en,1964-10-07,1964,1960,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring.,2.1602,7.819,466,US,United States,"[53, 18, 10752]",US,World War II,1,['atomic bomb'],tmdb_keywords,,consistent
600,Full Metal Jacket,Full Metal Jacket,en,1987-06-26,1987,1980,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,9.1631,8.119,11407,US,United States,"[18, 10752]",US,Vietnam War,1,['vietnam war'],overview,,consistent
613,Downfall,Der Untergang,de,2004-09-16,2004,2000,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",6.4558,7.861,4284,DE,Germany,"[18, 36, 10752]",DE,World War II,2,"['hitler', 'third reich']",overview,,consistent
616,The Last Samurai,The Last Samurai,en,2003-12-05,2003,2000,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",8.3662,7.603,7504,US,United States,"[18, 28, 10752]",US,World War II,1,['japanese army'],overview,,consistent
625,The Killing Fields,The Killing Fields,en,1984-11-23,1984,1980,"New York Times reporter Sydney Schanberg is on assignment covering the Cambodian Civil War, with the help of local interpreter Dith Pran and American photojournalist Al Rockoff. When the U.S. Army pulls out amid escalating violence, Schanberg makes exit arrangements for Pran and his family. Pran, however, tells Schanberg he intends to stay in Cambodia to help cover the unfolding story — a decision he may regret as the Khmer Rouge rebels move in.",1.8777,7.459,824,"GB,US","United Kingdom,United States","[18, 36, 10752]",GB,Vietnam War,1,['vietnam'],tmdb_keywords,,consistent
632,Stalag 17,Stalag 17,en,1953-05-29,1953,1950,"After two American prisoners are killed by guards in the act of escaping from a German POW camp in World War II, barracks black marketeer J.J. Sefton is suspected of being an informer.",1.794,7.687,661,US,United States,"[35, 18, 10752]",US,World War II,1,['world war ii'],overview,,consistent
